Section,Control Area,Question (Describe HOW control is implemented),Detailed Response,Control Owner,Evidence / Artifacts Link,Risk Rating (Low/Medium/High/Critical),Residual Risk (if any),Reviewer Comments
Application Overview,Business Context,"Describe the application purpose, supported business processes, users, and business criticality drivers.",,,,,,
Application Overview,Business Impact,"Describe financial, operational, customer, and regulatory impact of an outage including estimated impact per hour/day.",,,,,,
Application Overview,RTO/RPO,"Describe defined RTO/RPO targets, approval authority, and how targets were determined.",,,,,,
Security,Authentication,"Describe authentication mechanisms (IdP, MFA, SSO, service identities) and configuration details.",,,,,,
Security,Authorization Model,"Describe RBAC/ABAC model, role definitions, permission scoping, and mapping to business functions.",,,,,,
Security,Least Privilege,"Describe how least privilege is enforced for users, admins, and services.",,,,,,
Security,Access Provisioning,Describe onboarding/offboarding lifecycle including approvals and automation.,,,,,,
Security,Access Reviews,"Describe periodic access review process, frequency, and evidence generated.",,,,,,
Security,Service Accounts,"Describe creation, rotation, monitoring, and decommissioning of service identities.",,,,,,
Security,Segregation of Duties,"Describe SoD enforcement for critical actions (deployments, approvals, data access).",,,,,,
Security,Privileged Access Management,"Describe how privileged access is granted, monitored, time-bound, and revoked.",,,,,,
Security,Admin Account Separation,Describe how admin accounts are separated and technically enforced.,,,,,,
Security,Break Glass Process,"Describe emergency access workflow, audit trail, and review process.",,,,,,
Security,Encryption at Rest,"Describe encryption implementation for databases, storage, backups and key management approach.",,,,,,
Security,Encryption in Transit,"Describe TLS configuration, certificate handling, and internal service encryption.",,,,,,
Security,Key Management,"Describe key generation, storage (KMS/HSM), rotation process, and access controls.",,,,,,
Security,Secrets Management,"Describe secrets storage, runtime injection, rotation frequency, and prevention of hard-coded secrets.",,,,,,
Security,Secret Exposure Detection,"Describe secret scanning, monitoring, and remediation process.",,,,,,
Security,Certificate Management,"Describe certificate issuance, renewal automation, expiry monitoring, and inventory tracking.",,,,,,
Security,Threat Modeling,Describe top threat scenarios identified and mitigations implemented.,,,,,,
Security,Blast Radius Control,"Describe how compromise impact is limited (segmentation, scoped access, rate limits).",,,,,,
Monitoring,Data Classification,Describe sensitive data classification and enforcement mechanisms.,,,,,,
Monitoring,PII Protection,"Describe masking, tokenization, and monitoring controls for PII/PCI data.",,,,,,
Monitoring,Data Exfiltration Controls,"Describe outbound monitoring, DLP controls, and anomaly detection mechanisms.",,,,,,
Monitoring,Security Logging,"Describe logged events (auth, admin, data access, config changes) and log protection measures.",,,,,,
Monitoring,SIEM Integration,"Describe log centralization, immutability, and retention policy.",,,,,,
Monitoring,Alert Management,"Describe alert thresholds, routing, SOC integration, and escalation workflow.",,,,,,
Monitoring,Incident Response,"Describe playbooks for account compromise, data leak, ransomware, DDoS.",,,,,,
Availability,Architecture Resilience,"Describe HA architecture (multi-zone/region, clustering, load balancing).",,,,,,
Availability,Dependency Resilience,"Describe failure handling for DB, cache, queues, third-party services.",,,,,,
Availability,Backup Strategy,"Describe backup scope, encryption, frequency, and restore testing evidence.",,,,,,
Availability,Disaster Recovery,"Describe DR approach, last DR test results, and remediation actions.",,,,,,
Vulnerability Management,Secure SDLC,"Describe secure coding practices, code review, and security gates.",,,,,,
Vulnerability Management,SAST/DAST,"Describe static and dynamic scanning tools, frequency, and gating policy.",,,,,,
Vulnerability Management,Dependency Scanning,Describe SCA process and CVE remediation SLAs.,,,,,,
Vulnerability Management,Container/Image Security,"Describe image scanning, base image policy, and artifact signing.",,,,,,
Vulnerability Management,Patch Management,Describe OS/runtime patching cadence and verification process.,,,,,,
Vulnerability Management,Penetration Testing,"Describe penetration testing coverage, findings, and remediation status.",,,,,,
Connectivity,Upstream Systems,"Describe upstream integrations, authentication, encryption, and data exchanged.",,,,,,
Connectivity,Downstream Systems,Describe downstream integrations and data sharing controls.,,,,,,
Connectivity,Network Segmentation,"Describe firewall rules, VPC/VNET segmentation, and private endpoints.",,,,,,
Connectivity,API Security,"Describe API authentication, rate limiting, schema validation, and WAF controls.",,,,,,
Connectivity,Third-Party Risk,"Describe due diligence, monitoring, and contractual controls for third parties.",,,,,,
Data Governance,Data Inventory,"Describe stored data types, classification, and purpose.",,,,,,
Data Governance,Retention Policy,Describe retention duration per data type and regulatory alignment.,,,,,,
Data Governance,Deletion & Purging,"Describe automated deletion, archival, and audit trail process.",,,,,,
Data Governance,Backup Retention Alignment,Describe how backup retention aligns with data deletion obligations.,,,,,,
Cyber Risk Exposure,Internet Exposure,"Describe perimeter protections (WAF, DDoS, CDN, bot protection).",,,,,,
Cyber Risk Exposure,Attack Surface Management,"Describe public endpoint inventory, scanning, and hardening practices.",,,,,,
Cyber Risk Exposure,Account Takeover Protection,"Describe MFA, session controls, anomaly detection for login risk.",,,,,,
Cyber Risk Exposure,Supply Chain Security,"Describe build pipeline security, artifact signing, and trusted registries.",,,,,,
Operational Security,SOC Onboarding,"Describe SOC monitoring coverage, dashboards, and detection use cases.",,,,,,
Operational Security,Security Reviews,Describe periodic security posture reviews and KPI tracking.,,,,,,
Operational Security,Audit Trail Integrity,Describe how audit logs are protected against tampering.,,,,,,
Compliance,Regulatory Mapping,Describe applicable regulations and mapped controls.,,,,,,
Compliance,Evidence Management,Describe where audit evidence is stored and how compliance is validated pre-go-live.,,,,,,
Compliance,Exception Management,Describe process for documenting and approving policy exceptions.,,,,,,
Final Risk Summary,Top Risks,"Describe top 5 risks, mitigation plan, and residual risks accepted.",,,,,,
Final Risk Summary,Go-Live Recommendation,Provide recommended Go/No-Go decision with justification.,,,,,,