Section,Control Area,Question (Describe HOW control is implemented),Detailed Response,Risk Rating (Low/Medium/High/Critical),Evidence / Artifacts Link
Application Overview,Business Context,"Describe the application purpose, supported business processes, users, and business criticality drivers.","The provided documentation describes a 'sample three-tier application architecture' and a 'sample reference design' rather than a specific production application with a defined business purpose. Therefore, the application's specific business purpose, supported business processes, and specific user types (beyond 'Client / upstream app' or 'Admin workstation') are not detailed.

However, the documentation explicitly defines the business criticality drivers through its CIA rating:
*   **Confidentiality (C2):** Indicates the application handles 'moderate confidentiality; business data is sensitive but not at the highest restricted tier.'
*   **Integrity (I3):** Signifies a 'high integrity requirement; unauthorized or accidental change could materially affect business operations.'
*   **Availability (A4):** States a 'very high availability expectation; prolonged outage has significant business impact.'

Additionally, the 'AKS Application Support Pack' reinforces the availability criticality with a 'Target Availability: 99.9% monthly uptime' and 'Maximum Allowed Downtime per Month: ~43 minutes,' covering application services, ingress, and database connectivity. The application is noted to integrate with 'upstream applications' (e.g., ERP, CRM) and 'downstream applications' (e.g., BI/reporting), implying its role within a broader enterprise ecosystem, but its specific function within these integrations is not elaborated.",High,"http://localhost:3000/en/azure-aks-3tier-architecture-documentation,http://localhost:3000/en/azure-aks-support-pack"
Application Overview,Business Impact,"Describe financial, operational, customer, and regulatory impact of an outage including estimated impact per hour/day.","The provided documentation acknowledges the importance of availability and the potential for significant business impact from prolonged outages. The 'Azure AKS 3-tier Architecture Documentation' assigns an Availability A4 rating, indicating a 'Very high availability expectation; prolonged outage has significant business impact.' However, it explicitly lists 'Operational SLOs' as an 'Architecture Debt,' stating that 'Availability target implied but SLO/SLI/error budgets not defined. Weak service reliability governance.' It recommends to 'Define monitoring thresholds, SLOs, runbooks and ownership model.' While the 'AKS Application Support Pack' defines a 'Target Availability: 99.9% monthly uptime' with a 'Maximum Allowed Downtime per Month: ~43 minutes,' it does not provide any specific quantification of financial, operational, customer, or regulatory impact per hour or day of an outage. The documentation identifies the *need* for such definitions but does not provide them.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Application Overview,RTO/RPO,"Describe defined RTO/RPO targets, approval authority, and how targets were determined.","The provided documentation does not explicitly define RTO (Recovery Time Objective) or RPO (Recovery Point Objective) targets for the application. While the 'Azure AKS 3tier Architecture Documentation' defines an Availability A4 rating, indicating a 'Very high availability expectation' and notes that 'prolonged outage has significant business impact,' it also lists 'Disaster recovery' as an 'Architecture Debt.' It states, 'No active geo-redundant application topology shown in baseline. A4 availability target may not be fully met for regional outage scenarios. Add secondary-region deployment pattern, database failover group, and tested runbooks.' This indicates that a comprehensive disaster recovery strategy, which would typically include RTO/RPO targets, is not fully implemented or documented in this baseline. The 'AKS Application Support Pack' mentions a 'Target Availability: 99.9% monthly uptime' as an SLA, but this refers to operational uptime rather than recovery objectives in a disaster scenario. There is no information regarding the approval authority for such targets or how they were determined.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Authentication,"Describe authentication mechanisms (IdP, MFA, SSO, service identities) and configuration details.","The architecture leverages Microsoft Entra (formerly Azure AD) as the central Identity Provider (IdP) for both human administrators and service identities. For human administrator access, the design mandates the use of Microsoft Entra groups, Multi-Factor Authentication (MFA), and role-based assignment, explicitly stating that no shared administrator accounts should be used. While Single Sign-On (SSO) is not explicitly detailed for end-users of the application, its use for administrators via Microsoft Entra implies SSO capabilities within the broader Entra ecosystem.

For service identities, the architecture employs Microsoft Entra Workload Identity. This mechanism allows AKS pods to authenticate to Azure SQL Database without storing database passwords. The configuration involves a Kubernetes service account in the application namespace being annotated for workload identity, which is then federated to a user-assigned managed identity. AKS issues a projected service account token, and Microsoft Entra exchanges this token for an access token associated with the managed identity. The application uses Azure Identity libraries (e.g., DefaultAzureCredential / WorkloadIdentityCredential) to request a token for Azure SQL. Azure SQL then validates the Entra token and authorizes the database user mapped to that identity, ensuring least privilege. This approach eliminates the need to store SQL usernames/passwords in code, configuration, or Kubernetes secrets.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Authorization Model,"Describe RBAC/ABAC model, role definitions, permission scoping, and mapping to business functions.","The architecture explicitly defines an RBAC model for both human administrators and application identities. For human administrators, it mandates the use of Microsoft Entra groups, MFA, and role-based assignment, with a clear separation of duties for 'platform admin, app operator, and data admin'. Permissions are scoped using Azure RBAC for platform administrators at the subscription/resource group level, and Kubernetes RBAC for developers/operators at the namespace level, with a recommendation to avoid cluster-admin for routine operations. For application identities, AKS workloads use Microsoft Entra Workload Identity, where a Kubernetes service account is federated to a user-assigned managed identity. This managed identity is granted 'only the required database permissions' on Azure SQL Database, adhering to the principle of least privilege. The document provides a detailed table outlining identity types, their scope (e.g., cluster infrastructure resources, container registry, Azure SQL Database, Azure subscription/resource group, AKS namespaces), and typical permissions (e.g., Contributor on node resource group, AcrPull, contained DB user with execute/read/write, least-privilege Azure RBAC roles, namespace-scoped Kubernetes RBAC). This structure effectively maps roles and their permissions to specific operational and business functions.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Least Privilege,"Describe how least privilege is enforced for users, admins, and services.","The architecture explicitly enforces the principle of least privilege for users, administrators, and services. 

For **services**, specifically AKS workloads, Microsoft Entra Workload Identity is used. A Kubernetes service account is federated to a user-assigned managed identity, which is then granted only the *required database permissions* (e.g., execute/read/write as needed) on Azure SQL Database. This eliminates the need to store database passwords and ensures the application tier has minimal necessary access. The architecture decision states that 'Managed identity via Microsoft Entra Workload Identity Eliminates embedded SQL usernames/passwords and aligns with least privilege.'

For **administrators**, human access is managed through Microsoft Entra groups, Multi-Factor Authentication (MFA), and role-based assignment, with a strict policy against shared administrator accounts. Platform administrators are assigned 'Least-privilege Azure RBAC roles,' with the recommendation to use Privileged Identity Management (PIM) or Just-In-Time (JIT) access where available. Developers and operators are granted 'Namespace-scoped Kubernetes RBAC and CI/CD permissions,' with a clear instruction to 'Avoid cluster-admin for routine operations.'

For **users** (implicitly, those interacting with the application or requiring specific access), the system relies on Microsoft Entra-based authentication and authorization, ensuring that access is granted based on defined roles and permissions.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Access Provisioning,Describe onboarding/offboarding lifecycle including approvals and automation.,"The provided documentation describes the identity and access management mechanisms, such as Microsoft Entra Workload Identity for AKS workloads, Azure RBAC, Kubernetes RBAC, and SQL roles for human administrators and application identities. It specifies that human administrator access should use Entra groups, MFA, and role-based assignment, with PIM/JIT recommended for platform administrators. It also outlines the identity flow for applications connecting to Azure SQL. However, the documentation does not describe a formal 'onboarding/offboarding lifecycle' for applications, users, or identities, nor does it detail specific approval processes or automation steps associated with these lifecycle events. While it covers 'how' access is managed, it lacks information on the 'when' and 'how' identities and their access are provisioned or deprovisioned throughout their lifecycle, including the associated approval workflows and automation.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Access Reviews,"Describe periodic access review process, frequency, and evidence generated.","The provided documentation does not contain any information regarding a periodic access review process, its frequency, or the type of evidence generated. While the 'Identity and Access Management (IAM)' section (8.3) and 'Access Controls and Permissions' section (8.4) in the 'Azure AKS 3tier Architecture Documentation' discuss initial access control setup, authentication, authorization, and the principle of least privilege, there is no mention of a recurring review mechanism for these access rights. The 'Solution Risks' section (5) mentions 'least privilege review' as a mitigation for 'Identity misconfiguration', but this refers to pre-production validation and initial setup, not ongoing periodic reviews.",High,N/A
Security,Service Accounts,"Describe creation, rotation, monitoring, and decommissioning of service identities.","The documentation provides details on the creation and monitoring of service identities, but is less explicit on their rotation and decommissioning.

**Creation:** Service identities are created using Microsoft Entra Workload Identity. A Kubernetes service account within the application namespace is federated to a user-assigned managed identity. This managed identity is then granted only the required database permissions, aligning with the principle of least privilege.

**Rotation:** The architecture explicitly states that it 'Eliminates embedded SQL usernames/passwords' and 'No SQL username/password is stored in the container image, configuration file, or Kubernetes secret' by using managed identity via Microsoft Entra Workload Identity. This token-based authentication inherently reduces the need for traditional password rotation for database access. For other non-database secrets and certificates, Azure Key Vault is used, which centralizes their lifecycle management, implying rotation capabilities, though specific rotation policies are not detailed for the managed identity itself.

**Monitoring:** The 'Monitoring and audit' section under 'Security Aspects' indicates that 'Azure Monitor, Defender for Cloud, SQL auditing' are used to 'Log access, changes, anomalous behavior and admin operations.' This covers the monitoring of identity-related activities and access.

**Decommissioning:** The provided documentation does not explicitly detail a process or policy for the decommissioning of service identities.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Segregation of Duties,"Describe SoD enforcement for critical actions (deployments, approvals, data access).","The architecture explicitly addresses Segregation of Duties (SoD) for critical actions. The documentation states that 'Authorization Azure RBAC + Kubernetes RBAC + SQL roles Separate platform admin, app operator, and data admin duties.' This clearly defines distinct responsibilities for different administrative functions. For human administrators, Microsoft Entra-based authentication with role-based assignment and MFA is mandated, with a strict policy against shared administrator accounts. Developers and operators are granted namespace-scoped Kubernetes RBAC and CI/CD permissions, specifically avoiding cluster-admin privileges for routine operations, thereby enforcing SoD for deployments. Data access is controlled by assigning least-privilege roles to the application's managed identity for Azure SQL Database, and data administration duties are separated. The document also lists 'separation of duties' as a design consequence for achieving the high integrity (I3) requirement of the application.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Privileged Access Management,"Describe how privileged access is granted, monitored, time-bound, and revoked.","The documentation specifies that human administrator access should leverage Microsoft Entra groups, Multi-Factor Authentication (MFA), and role-based assignment, explicitly prohibiting shared administrator accounts. For platform administrators, the architecture recommends using least-privilege Azure RBAC roles and explicitly states to 'Use PIM/JIT where available.' This directly addresses the requirement for time-bound access, as Privileged Identity Management (PIM) and Just-in-Time (JIT) access mechanisms grant temporary permissions that are automatically revoked after a defined period. Furthermore, for administrative access from workstations or jump hosts to AKS control/admin endpoints, the documentation mandates 'Privileged access workstation, MFA, JIT/JEA controls,' reinforcing the use of Just Enough Administration (JEA) alongside JIT. Monitoring is inherently supported by the use of individual Entra identities and the auditing features typically associated with PIM/JIT solutions.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Admin Account Separation,Describe how admin accounts are separated and technically enforced.,"The documentation explicitly addresses the separation and technical enforcement of admin accounts. For human administrator access, it mandates the use of Microsoft Entra groups, Multi-Factor Authentication (MFA), and role-based assignment, strictly prohibiting shared administrator accounts. Platform administrators are assigned least-privilege Azure RBAC roles, with the recommendation to use Privileged Identity Management (PIM) and Just-In-Time (JIT) access where available. Developers and operators are granted namespace-scoped Kubernetes RBAC and CI/CD permissions, with a clear instruction to avoid cluster-admin privileges for routine operations. This approach ensures a clear separation of duties and technical enforcement through identity and access management mechanisms.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Break Glass Process,"Describe emergency access workflow, audit trail, and review process.","The documentation acknowledges the concept of a 'break-glass admin process' as a mitigation for identity misconfiguration (Azure AKS 3-tier Architecture Documentation, Section 5). It also states that 'admin operations' are logged as part of 'Monitoring and audit' (Azure AKS 3-tier Architecture Documentation, Section 8.3), which implies an audit trail for administrative actions. Furthermore, an 'Incident Escalation Process' is defined (AKS Application Support Pack, Section 6) for critical outages, which would likely necessitate emergency access. The use of PIM/JIT (Privileged Identity Management/Just-in-Time) is mentioned for platform administrators (Azure AKS 3-tier Architecture Documentation, Section 8.4), which is a mechanism often used to manage privileged access, including emergency scenarios. 

However, the documentation *does not provide a detailed description of the emergency access workflow itself*, including specific steps, roles, or procedures for granting and revoking emergency access. It also *does not explicitly describe how the audit trail for emergency access is specifically managed, protected, or reviewed* to ensure accountability and detect misuse. While logging of admin operations is mentioned, the specific workflow and review process for emergency access events are not detailed.",Medium,"http://localhost:3000/en/azure-aks-3tier-architecture-documentation,http://localhost:3000/en/azure-aks-support-pack"
Security,Encryption at Rest,"Describe encryption implementation for databases, storage, backups and key management approach.","The architecture documentation specifies a clear encryption implementation for databases, storage, and backups, along with a key management approach. For databases, Azure SQL Database is mandated to use Transparent Data Encryption (TDE). Disk-backed AKS components leverage Azure-managed disk encryption. The documentation also states that backups, logs, and storage accounts used by the platform must remain encrypted at rest. Regarding key management, while Azure-managed keys are used by default for disk encryption, the option for customer-managed keys (CMK) is available for supported services where stronger key ownership is required. For certificates and non-database secrets, Azure Key Vault is utilized to centralize their lifecycle and prevent static secrets from being stored in manifests.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Encryption in Transit,"Describe TLS configuration, certificate handling, and internal service encryption.","The architecture specifies that all north-south (client to ingress) and east-west (within AKS) application traffic *should* use TLS. Specifically, inbound user/API access to the web tier is via WAF-protected HTTPS on TCP 443, with certificate management handled at the ingress. The application connects to Azure SQL Database over encrypted TDS on TCP 1433. For hybrid integration, HTTPS or other TLS-protected protocols are mandated. Certificates for TLS and other non-database secrets are centrally managed in Azure Key Vault.

For internal service encryption (east-west traffic within the AKS cluster), the documentation states that Kubernetes network policies are used, and while TLS is recommended, mutual TLS (mTLS) via a service mesh is 'optional / not mandated in baseline.' It explicitly notes that 'Internal traffic may rely only on network trust and TLS at selected hops,' and this is listed as an 'Architecture Debt.' This indicates that not all internal service-to-service communication is strictly enforced with mTLS, potentially relying on network trust for some hops.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Key Management,"Describe key generation, storage (KMS/HSM), rotation process, and access controls.","The documentation indicates that Azure Key Vault is utilized for the storage of certificates and non-database secrets, centralizing their lifecycle and avoiding static secrets in manifests. Access to Key Vault is governed by RBAC and requires private access setup. For database authentication, Microsoft Entra Workload Identity is used, eliminating the need to store database passwords or usernames. Regarding encryption keys, Azure SQL Database uses Transparent Data Encryption (TDE), and disk-backed AKS components use Azure-managed disk encryption. The document also states that 'where stronger key ownership is required, customer-managed keys can be adopted for supported services,' implying the potential use of KMS/HSM for specific encryption keys, but it does not explicitly state that all encryption keys are customer-managed or stored in a KMS/HSM by default. The documentation does not provide details on the key generation process or the key rotation process for any keys or certificates.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Secrets Management,"Describe secrets storage, runtime injection, rotation frequency, and prevention of hard-coded secrets.","The architecture addresses secrets storage, runtime injection, and prevention of hard-coded secrets effectively for database credentials and non-database secrets. For database credentials, the system uses Microsoft Entra Workload Identity. Pods obtain a projected service account token, which Microsoft Entra exchanges for an access token associated with a user-assigned managed identity. The application then uses Azure Identity libraries to request this token for Azure SQL, ensuring that no SQL usernames or passwords are stored in container images, configuration files, or Kubernetes secrets. This method inherently prevents hard-coded database credentials and provides a dynamic, token-based runtime injection mechanism. For certificates and non-database secrets, Azure Key Vault is used, centralizing their lifecycle and avoiding static secrets in manifests. While the documentation clearly outlines the secure storage and runtime injection methods, it does not explicitly detail the rotation frequency for certificates or non-database secrets stored in Key Vault. The token-based approach for database access provides a form of dynamic credential management, but a formal rotation policy for static secrets in Key Vault is not mentioned.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Secret Exposure Detection,"Describe secret scanning, monitoring, and remediation process.","The provided documentation mentions several controls related to secrets, but it does not describe a specific secret scanning, monitoring, and remediation process. 

Key points from the documentation regarding secrets:
*   **Secure Storage:** The architecture explicitly states, ""Use Key Vault for certificates and non-database secrets Centralizes secret lifecycle and avoids static secrets in manifests."" It also notes, ""Key Vault stores certificates and non-database secrets only."" For database authentication, ""Managed identity via Microsoft Entra Workload Identity Eliminates embedded SQL usernames/passwords and aligns with least privilege."" The 'Recommended Identity Flow to Azure SQL' section further confirms, ""No SQL username/password is stored in the container image, configuration file, or Kubernetes secret.""
*   **Container Image Scanning:** Under 'Solution Risks', it identifies ""Container supply chain Unscanned or vulnerable images deployed to AKS"" as a risk and suggests ""Image scanning, signed images, trusted registries, patch cadence"" as mitigation. While image scanning *can* detect secrets embedded in images, the documentation does not detail this as a dedicated 'secret scanning' process, nor does it describe the monitoring or remediation steps specifically for secrets found through such scanning.

There is no explicit mention of a process for scanning code repositories, configuration files (outside of Key Vault), or other artifacts for inadvertently exposed secrets, nor a defined monitoring and remediation workflow for such findings.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Certificate Management,"Describe certificate issuance, renewal automation, expiry monitoring, and inventory tracking.","The provided documentation states that Azure Key Vault is used for certificates and non-database secrets, and that it 'Centralizes secret lifecycle'. It also mentions 'certificate management' in the context of Ingress/WAF. However, the documentation does not explicitly describe the processes for certificate issuance, renewal automation, expiry monitoring, or inventory tracking. While Key Vault inherently offers capabilities for these functions, the architecture documentation does not confirm their implementation or automation within this specific solution. Therefore, the control is partially addressed by the choice of technology, but the specific operational details of the control are not documented.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Threat Modeling,Describe top threat scenarios identified and mitigations implemented.,"The architecture documentation explicitly identifies several solution risks (threat scenarios) and their corresponding mitigations. These include:

1.  **Hybrid link failure**: Loss or degradation of ExpressRoute/VPN affecting upstream/downstream integrations. Mitigated by dual circuits/tunnels, route monitoring, retries, and queueing for async flows.
2.  **Identity misconfiguration**: Managed identity, federation, or DB role grants are incorrectly configured. Mitigated by Infrastructure as Code (IaC), least privilege review, pre-production validation, and a break-glass admin process.
3.  **Excessive network exposure**: Public endpoints left open beyond requirement. Mitigated by private endpoints, Network Security Groups (NSGs), Azure Firewall, policy guardrails, and regular exposure review.
4.  **Database throttling / sizing**: Azure SQL tier insufficient for workload peaks. Mitigated by performance testing, autoscale planning, and telemetry-based right sizing.
5.  **Container supply chain**: Unscanned or vulnerable images deployed to AKS. Mitigated by image scanning, signed images, trusted registries, and patch cadence.
6.  **Insufficient DR testing**: Failover plan exists but is untested. Mitigated by regularly exercising backup restore, region failover, and incident runbooks.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Security,Blast Radius Control,"Describe how compromise impact is limited (segmentation, scoped access, rate limits).","The architecture extensively details mechanisms to limit compromise impact through segmentation, scoped access, and implicitly, rate limits. 

**Segmentation:** The design emphasizes 'segmented network zones' and 'private connectivity preferred' to reduce internet exposure, utilizing private endpoints, NSGs, Azure Firewall, and network policies. Network policies are explicitly used to restrict 'east-west traffic' within AKS, improving workload isolation and restricting lateral movement. All network flows are required to be 'allow-listed by source, destination, protocol, and environment'. The application itself is logically separated into distinct presentation (web), business logic (application/API), and data (Azure SQL Database) tiers, creating clear trust boundaries.

**Scoped Access:** The architecture heavily relies on 'Microsoft Entra-based identity' and 'Managed identity via Microsoft Entra Workload Identity' for application-to-database authentication, which 'Eliminates embedded SQL usernames/passwords and aligns with least privilege'. Application pods use Kubernetes service accounts federated to user-assigned managed identities, 'granted only the required database permissions'. Human administrator access uses 'Entra groups, MFA, and role-based assignment', with 'no shared administrator accounts'. Authorization is implemented through 'Azure RBAC + Kubernetes RBAC + SQL roles' to 'separate platform admin, app operator, and data admin duties', ensuring least-privilege access for all identity types.

**Rate Limits:** Ingress security is provided by a 'WAF-protected HTTPS ingress' (Application Gateway WAF or NGINX ingress), which 'Improves OWASP protection and centralized entry control'. While explicit 'rate limiting' is not detailed, WAFs typically include rate limiting as a core component of web application protection and OWASP mitigation.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Monitoring,Data Classification,Describe sensitive data classification and enforcement mechanisms.,"The provided documentation indicates that the application handles sensitive business data, classified with a Confidentiality C2 rating, meaning it is sensitive but not at the highest restricted tier. However, the documentation explicitly states that a 'detailed schema/data classification not shown' is an 'Architecture Debt'. It notes that 'Protection controls may not be uniformly applied to all tables/columns' and recommends to 'Perform data discovery and map controls to data domains'. While 'optional Always Encrypted for sensitive columns' is mentioned as a potential data protection measure where business data requires it, a comprehensive description of sensitive data classification and its associated enforcement mechanisms across the architecture is not provided and is identified as a future enhancement or debt.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Monitoring,PII Protection,"Describe masking, tokenization, and monitoring controls for PII/PCI data.","The provided documentation does not explicitly describe masking or tokenization controls for PII/PCI data. While it mentions 'optional Always Encrypted for sensitive columns' as a stronger column-level protection, this is not equivalent to data masking or tokenization. Furthermore, the documentation identifies 'Data classification implementation' as an 'Architecture Debt,' stating that 'Protection controls may not be uniformly applied to all tables/columns.' This indicates a lack of detailed data classification, which is a prerequisite for implementing specific PII/PCI controls like masking or tokenization. General monitoring and auditing capabilities (Azure Monitor, Defender for Cloud, SQL auditing) are mentioned, but there is no specific description of how these are configured or used to monitor access, usage, or security events related to PII/PCI data.",High,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Monitoring,Data Exfiltration Controls,"Describe outbound monitoring, DLP controls, and anomaly detection mechanisms.","The documentation provides some information regarding outbound monitoring and anomaly detection, but explicitly lacks details on Data Loss Prevention (DLP) controls.

**Outbound Monitoring:** The architecture details specific outbound network paths, such as the application tier connecting to Azure SQL Database (TCP 1433) and to upstream on-premises APIs (TCP 443). It states that 'All flows should be allow-listed by source, destination, protocol, and environment' and recommends 'Firewall rules' for controlling outbound traffic to on-prem APIs. For general monitoring, 'Azure Monitor' and 'Defender for Cloud' are listed for 'observability' and 'posture management,' which would typically include network flow monitoring. However, specific security-focused outbound monitoring for data exfiltration is not explicitly detailed.

**DLP Controls:** The documentation does not explicitly mention or describe any Data Loss Prevention (DLP) controls. While it defines a Confidentiality rating of C2 (Moderate) and outlines measures like strong identity, encryption, private networking, and controlled administrative access to protect confidentiality, a dedicated DLP mechanism is not described. Furthermore, the 'Architecture Debt' section highlights that 'detailed schema/data classification not shown,' which is a foundational step for effective DLP.

**Anomaly Detection Mechanisms:** The documentation states that 'Azure Monitor' and 'Defender for Cloud' are utilized for 'Monitoring and audit' and to 'Log access, changes, anomalous behavior and admin operations.' This indicates that mechanisms are in place to detect anomalous behavior. The 'AKS Application Support Pack' also lists 'Alerting Threshold Examples' for various metrics (e.g., CPU utilization, pod restart counts, application error rates, database CPU, API latency), which serve as basic indicators for detecting deviations from normal operations.",Medium,"http://localhost:3000/en/azure-aks-3tier-architecture-documentation,http://localhost:3000/en/azure-aks-support-pack"
Monitoring,Security Logging,"Describe logged events (auth, admin, data access, config changes) and log protection measures.","The architecture explicitly addresses the logging of events and log protection measures. For logged events, the documentation states that 'access, changes, anomalous behavior and admin operations' are logged. This covers authentication (access), administrative actions (admin operations), data access (access), and configuration changes (changes). The tools used for this logging include Azure Monitor, Defender for Cloud, and SQL auditing. Regarding log protection, the documentation specifies that 'Backups, logs, and storage accounts used by the platform should also remain encrypted at rest.' This ensures that the stored logs are protected from unauthorized access through encryption.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Monitoring,SIEM Integration,"Describe log centralization, immutability, and retention policy.","The provided documentation indicates that logs are collected and monitored through 'Azure Monitor' and 'SQL auditing' as part of the security aspects, specifically for logging access, changes, anomalous behavior, and administrative operations. This suggests a centralized approach to logging for operational and security purposes. However, the documentation does not explicitly define a log immutability strategy to prevent tampering or alteration of logs. Furthermore, there is no mention of a specific log retention policy, such as how long logs are stored or managed. While it states that 'Backups, logs, and storage accounts used by the platform should also remain encrypted at rest,' this addresses encryption at rest, not immutability or retention periods.",Medium,http://localhost:3000/en/azure-aks-3tier-architecture-documentation
Monitoring,Alert Management,"Describe alert thresholds, routing, SOC integration, and escalation workflow.","The documentation provides clear details regarding alert thresholds, routing, and the incident escalation workflow, and mentions SOC integration. 

**Alert Thresholds:** Specific examples of alerting thresholds are defined, including CPU utilization above 80% for 10 minutes, pod restart count greater than 3 within 5 minutes, application error rate above 5%, database CPU above 85% for 15 minutes, and API latency above 2 seconds for 5 minutes.

**Routing and Escalation Workflow:** An incident escalation process is outlined based on severity:
*   **Severity 1 (Critical outage):** Immediate escalation to the SRE lead and Cloud Platform team.
*   **Severity 2 (Partial degradation):** Notify the SRE team and investigate within 30 minutes.
*   **Severity 3 (Minor issues/alerts):** Investigate during business hours.
This process implicitly defines the routing of alerts to the appropriate support teams (SRE Operations, Cloud Platform Team, Database Operations, Network Operations) based on the incident's severity.

**SOC Integration:** The architecture includes 'Monitoring and audit' as a baseline control, utilizing Azure Monitor, Defender for Cloud, and SQL auditing. The owner for logging access, changes, anomalous behavior, and admin operations is explicitly stated as 'SOC / operations', indicating integration with the Security Operations Center for security monitoring and incident response.",Low,http://localhost:3000/en/azure-aks-3tier-architecture-documentation;http://localhost:3000/en/azure-aks-support-pack
Monitoring,Incident Response,"Describe playbooks for account compromise, data leak, ransomware, DDoS.","The provided documentation does not explicitly describe playbooks for specific incident types such as account compromise, data leak, ransomware, or DDoS. The `azure-aks-3tier-architecture-documentation` mentions 'incident runbooks' in the context of disaster recovery testing, stating 'Exercise backup restore, region failover and incident runbooks regularly,' but does not detail their content or scope for specific threats. The `azure-aks-support-pack` outlines a general 'Incident Escalation Process' based on severity, but it does not provide specific playbooks or procedures for handling the mentioned types of security incidents.",High,"http://localhost:3000/en/azure-aks-3tier-architecture-documentation,http://localhost:3000/en/azure-aks-support-pack"
